FA_name,FA_mass,FA_length_ft,FA_manufacturing_year,FA_introduction_year,reactor_power,reactor_type,fuel_type,reactor_site,reactor_location,FA_BUp,reactor_epoch
FC6539,755.7,12,1967,1971,900,CPY,UO2,DAM,Centre-Val de Loire,6.1,VD6
FS4608,882.6,14,1970,1970,1300,DPY,UO2,NOG,Île-de-France,72.0,VD6
FH2104,890.2,14,1970,1972,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD6
FI8953,855.2,14,1979,1983,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD5
FH8749,796.6,12,2020,2021,900,CPY,MOX,CRU,Auvergne-Rhône-Alpes,26.7,VD1
FV8062,846.6,14,1989,1992,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD4
FX1887,903.1,14,2008,2013,1300,DPY,UO2,GOL,Occitanie,72.0,VD2
FB7596,867.8,14,2014,2016,1300,DPY,UO2,PEN,Normandy,72.0,VD1
FH4139,748.1,12,1978,1982,900,CPY,UO2,STL,Centre-Val de Loire,0.0,VD5
FN4006,750.3,12,1984,1987,900,CPY,UO2,GRA,Hauts-de-France,3.3,VD4
FO2604,765.6,12,1968,1973,900,CPY,UO2,DAM,Centre-Val de Loire,7.7,VD6
FC4872,868.5,14,1977,1980,1300,DPY,UO2,NOG,Île-de-France,72.0,VD5
FG7570,728.8,12,1972,1973,900,CPY,UO2,GRA,Hauts-de-France,0.0,VD6
FM5345,881.2,14,2017,2020,1300,DPY,UO2,GOL,Occitanie,72.0,VD1
FW8973,727.9,12,1978,1979,900,CPY,UO2,FES,Grand Est,0.0,VD5
FB9883,758.9,12,1968,1973,900,CPY,UO2,FES,Grand Est,7.4,VD6
FB8811,834.8,14,1998,2002,1300,DPY,UO2,FLA,Normandy,60.7,VD3
FQ2312,762.9,12,2024,2024,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,16.0,VD1
FV4853,902.8,14,1995,1995,1300,DPY,UO2,PAL,Normandy,72.0,VD4
FS1651,852.5,14,2009,2009,1300,DPY,UO2,PAL,Normandy,72.0,VD2
FI4346,942.5,14,2007,2012,1300,DPY,UO2,GOL,Occitanie,72.0,VD2
FI7484,861.2,14,1973,1978,1300,DPY,UO2,FLA,Normandy,72.0,VD5
FO6180,854.1,14,2018,2018,1300,DPY,UO2,PEN,Normandy,72.0,VD1
FT2638,751.1,12,1970,1974,900,CPY,UO2,CHI,Centre-Val de Loire,0.0,VD6
FE6718,699.4,12,1973,1974,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD6
FF8179,851.9,14,2019,2023,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FT9666,840.0,14,1965,1970,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,67.8,VD6
FV2697,794.1,12,1976,1978,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,27.1,VD5
FX3546,936.9,14,1985,1987,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD4
FW6617,912.0,14,1978,1983,1300,DPY,UO2,PAL,Normandy,72.0,VD5
FQ9004,848.0,14,1986,1986,1300,DPY,UO2,PEN,Normandy,66.8,VD4
FI1722,867.6,14,1968,1970,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD6
FU5291,739.0,12,1975,1980,900,CPY,UO2,STL,Centre-Val de Loire,0.0,VD5
FR1158,779.1,12,1977,1977,900,CPY,UO2,GRA,Hauts-de-France,17.6,VD5
FR1590,880.8,14,2021,2023,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD1
FN3088,878.3,14,1970,1972,1300,DPY,UO2,PAL,Normandy,72.0,VD6
FL4441,937.2,14,2012,2013,1300,DPY,UO2,FLA,Normandy,72.0,VD2
FL7658,883.2,14,2004,2009,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FF3900,735.3,12,1995,1996,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD3
FZ7745,901.2,14,2016,2021,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD1
FI3608,729.3,12,2017,2020,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD1
FP4644,749.5,12,1979,1982,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD5
FZ4728,891.0,14,1984,1984,1600,EPR,UO2,FLA,Normandy,72.0,VD5
FM6378,899.1,14,1987,1987,1300,DPY,UO2,PEN,Normandy,72.0,VD4
FL9346,767.0,12,1995,1995,900,CPY,MOX,STL,Centre-Val de Loire,10.1,VD4
FF5349,877.8,14,1972,1972,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD6
FL6139,845.7,14,1993,1997,1300,DPY,UO2,PAL,Normandy,69.2,VD3
FM4114,893.2,14,1986,1986,1300,DPY,UO2,NOG,Île-de-France,72.0,VD4
FA9518,877.2,14,2017,2021,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD1
FL8066,850.9,14,1969,1974,1300,DPY,UO2,PEN,Normandy,72.0,VD6
FV3041,851.0,14,2014,2016,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FV7691,861.3,14,1987,1990,1300,DPY,UO2,NOG,Île-de-France,72.0,VD4
FR3085,854.0,14,1979,1982,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD5
FV3851,900.0,14,2005,2009,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FR1006,749.5,12,1987,1989,900,CPY,UO2,FES,Grand Est,0.0,VD4
FZ6279,763.0,12,1996,1999,900,CPY,MOX,DAM,Centre-Val de Loire,11.1,VD3
FQ8752,895.1,14,2015,2020,1300,DPY,UO2,PEN,Normandy,72.0,VD1
FJ9445,752.4,12,2012,2012,900,CPY,MOX,CRU,Auvergne-Rhône-Alpes,0.0,VD2
FV6085,786.3,12,1983,1984,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,27.7,VD5
FB5011,771.8,12,1997,2000,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,15.1,VD3
FW7291,850.5,14,1998,2001,1300,DPY,UO2,GOL,Occitanie,68.1,VD3
FU1090,731.0,12,2015,2018,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD1
FZ9486,773.8,12,1995,1999,900,CPY,UO2,DAM,Centre-Val de Loire,12.7,VD3
FO3184,717.0,12,2016,2021,900,CPY,MOX,DAM,Centre-Val de Loire,0.0,VD1
FY8251,825.0,14,2004,2009,1300,DPY,UO2,NOG,Île-de-France,57.5,VD2
FR8305,828.5,14,1975,1980,1300,DPY,UO2,NOG,Île-de-France,58.1,VD5
FO5246,738.7,12,2013,2018,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD1
FU4919,753.0,12,1984,1987,900,CPY,UO2,FES,Grand Est,3.1,VD4
FH5451,830.3,14,1989,1991,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,63.6,VD4
FE3471,920.2,14,1981,1984,1300,DPY,UO2,NOG,Île-de-France,72.0,VD5
FW4505,935.1,14,1971,1974,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD6
FR8633,893.8,14,1996,1996,1300,DPY,UO2,GOL,Occitanie,72.0,VD3
FM1320,776.5,12,2021,2024,900,CPY,MOX,DAM,Centre-Val de Loire,11.2,VD1
FJ7389,743.3,12,2020,2024,900,CPY,MOX,CHI,Centre-Val de Loire,0.0,VD1
FP4595,922.5,14,1984,1987,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD4
FM6507,759.6,12,2007,2012,900,CPY,MOX,GRA,Hauts-de-France,5.1,VD2
FE9751,717.4,12,1968,1971,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD6
FC8022,860.0,14,1975,1978,1300,DPY,UO2,PAL,Normandy,72.0,VD5
FI7211,725.4,12,1989,1990,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD4
FK7211,747.3,12,1984,1987,900,CPY,UO2,GRA,Hauts-de-France,0.0,VD4
FP1317,799.1,12,2015,2017,900,CPY,UO2,FES,Grand Est,27.9,VD1
FY1659,747.2,12,2017,2018,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD1
FT3496,736.7,12,1984,1985,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD5
FS4571,712.1,12,1997,1999,900,CPY,MOX,GRA,Hauts-de-France,0.0,VD3
FY3683,764.4,12,1989,1989,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,11.2,VD4
FJ7149,871.3,14,1990,1995,1300,DPY,UO2,PAL,Normandy,72.0,VD4
FS4978,731.1,12,1971,1976,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD5
FV2983,792.2,12,2018,2020,900,CPY,UO2,STL,Centre-Val de Loire,26.8,VD1
FV7071,877.3,14,1970,1974,1300,DPY,UO2,NOG,Île-de-France,72.0,VD6
FA7882,844.7,14,2019,2022,1300,DPY,UO2,PEN,Normandy,64.4,VD1
FL8532,902.0,14,2014,2015,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD2
FX9548,856.0,14,2009,2011,1300,DPY,UO2,GOL,Occitanie,72.0,VD2
FO8136,876.4,14,2017,2022,1300,DPY,UO2,PAL,Normandy,72.0,VD1
FK5022,868.0,14,2023,2023,1300,DPY,UO2,PAL,Normandy,72.0,VD1
FH8613,762.5,12,2004,2006,900,CPY,MOX,FES,Grand Est,5.5,VD2
FK3979,708.3,12,1999,2001,900,CPY,UO2,CHI,Centre-Val de Loire,0.0,VD3
FK5581,730.9,12,2004,2008,900,CPY,MOX,STL,Centre-Val de Loire,0.0,VD2
FC4954,756.5,12,2013,2016,900,CPY,MOX,CHI,Centre-Val de Loire,2.0,VD1
FW8800,873.1,14,2006,2011,1300,DPY,UO2,NOG,Île-de-France,72.0,VD2
FZ1282,728.5,12,1973,1975,900,CPY,UO2,GRA,Hauts-de-France,0.0,VD6
FW4986,770.9,12,1984,1989,900,CPY,UO2,DAM,Centre-Val de Loire,10.9,VD4
FP9698,802.9,14,1989,1992,1300,DPY,UO2,PAL,Normandy,37.9,VD4
FL8434,885.8,14,1985,1987,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD4
FD4155,779.2,12,1990,1990,900,CPY,UO2,FES,Grand Est,19.0,VD4
FG4545,860.8,14,2014,2017,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD1
FD4180,757.2,12,1987,1988,900,CPY,UO2,FES,Grand Est,9.3,VD4
FJ1231,910.0,14,2011,2015,1300,DPY,UO2,FLA,Normandy,72.0,VD2
FB1893,703.2,12,2000,2005,900,CPY,MOX,CRU,Auvergne-Rhône-Alpes,0.0,VD3
FD1200,758.2,12,2003,2006,900,CPY,MOX,CRU,Auvergne-Rhône-Alpes,4.6,VD2
FK4020,755.9,12,1971,1973,900,CPY,UO2,GRA,Hauts-de-France,5.2,VD6
FD2070,758.5,12,1995,1995,900,CPY,MOX,TRI,Auvergne-Rhône-Alpes,4.6,VD4
FE3444,880.3,14,2017,2021,1300,DPY,UO2,PAL,Normandy,72.0,VD1
FH2940,770.8,12,2001,2005,900,CPY,MOX,FES,Grand Est,10.9,VD3
FY9561,889.0,14,1991,1994,1300,DPY,UO2,PAL,Normandy,72.0,VD4
FS8025,743.3,12,1985,1989,900,CPY,UO2,GRA,Hauts-de-France,0.0,VD4
FT2625,897.1,14,2017,2018,1300,DPY,UO2,PAL,Normandy,72.0,VD1
FI2330,887.1,14,1979,1980,1300,DPY,UO2,PEN,Normandy,72.0,VD5
FF1043,705.5,12,1991,1996,900,CPY,MOX,CRU,Auvergne-Rhône-Alpes,0.0,VD3
FJ1534,883.2,14,1982,1984,1300,DPY,UO2,PAL,Normandy,72.0,VD5
FW8438,878.2,14,1969,1974,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD6
FZ4241,730.2,12,1993,1997,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD3
FI3330,789.8,12,1974,1974,900,CPY,UO2,DAM,Centre-Val de Loire,23.3,VD6
FT5728,751.4,12,1995,1998,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,2.9,VD3
FW7594,870.4,14,1983,1987,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD4
FO2317,899.0,14,2008,2008,1300,DPY,UO2,NOG,Île-de-France,72.0,VD2
FT5102,865.2,14,1971,1971,1300,DPY,UO2,GOL,Occitanie,72.0,VD6
FY5415,743.9,12,2005,2006,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD2
FI3973,744.2,12,2002,2007,900,CPY,MOX,GRA,Hauts-de-France,0.0,VD2
FC8700,743.3,12,1989,1992,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD4
FV2713,875.4,14,2023,2024,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FW9117,858.3,14,1983,1988,1600,EPR,UO2,FLA,Normandy,72.0,VD4
FO2442,854.2,14,1988,1990,1300,DPY,UO2,GOL,Occitanie,72.0,VD4
FY7622,797.7,14,2021,2025,1300,DPY,UO2,FLA,Normandy,37.1,VD1
FV9889,741.4,12,1999,1999,900,CPY,MOX,TRI,Auvergne-Rhône-Alpes,0.0,VD3
FT9167,722.2,12,2010,2010,900,CPY,MOX,DAM,Centre-Val de Loire,0.0,VD2
FR3146,768.0,12,1985,1988,900,CPY,UO2,DAM,Centre-Val de Loire,8.5,VD4
FD1472,839.4,14,2006,2010,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,65.5,VD2
FW3594,767.8,12,1985,1989,900,CPY,UO2,STL,Centre-Val de Loire,11.9,VD4
FC4681,723.0,12,2020,2023,900,CPY,UO2,CHI,Centre-Val de Loire,0.0,VD1
FP5781,884.5,14,1997,2002,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD3
FP8736,736.9,12,1982,1985,900,CPY,UO2,FES,Grand Est,0.0,VD5
FM4122,829.6,14,2004,2008,1300,DPY,UO2,NOG,Île-de-France,57.3,VD2
FC5526,814.3,14,2016,2019,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,49.7,VD1
FA5634,859.1,14,2014,2016,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FE8316,752.9,12,2002,2004,900,CPY,MOX,TRI,Auvergne-Rhône-Alpes,2.1,VD3
FO6272,884.0,14,2024,2025,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FS7274,880.0,14,1981,1984,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD5
FX8749,736.5,12,2012,2015,900,CPY,MOX,CHI,Centre-Val de Loire,0.0,VD2
FP1606,886.9,14,1974,1978,1300,DPY,UO2,PEN,Normandy,72.0,VD5
FD8213,882.5,14,1972,1976,1300,DPY,UO2,PAL,Normandy,72.0,VD5
FX3361,704.0,12,1996,1996,900,CPY,UO2,GRA,Hauts-de-France,0.0,VD3
FK7512,762.9,12,2009,2011,900,CPY,UO2,GRA,Hauts-de-France,6.3,VD2
FK8994,734.7,12,2021,2025,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD1
FU5708,846.5,14,1979,1984,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD5
FD2646,889.4,14,1997,1998,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD3
FA1753,858.2,14,1990,1990,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD4
FL8056,778.7,12,1978,1979,900,CPY,UO2,FES,Grand Est,16.7,VD5
FS3950,856.7,14,1979,1980,1300,DPY,UO2,NOG,Île-de-France,72.0,VD5
FT4945,893.4,14,1997,2001,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD3
FO5161,731.8,12,1994,1999,900,CPY,MOX,CRU,Auvergne-Rhône-Alpes,0.0,VD3
FJ9955,754.4,12,1980,1980,900,CPY,UO2,CHI,Centre-Val de Loire,0.0,VD5
FS5901,764.0,12,2005,2010,900,CPY,MOX,GRA,Hauts-de-France,11.1,VD2
FJ4263,748.2,12,1991,1994,900,CPY,UO2,FES,Grand Est,0.0,VD4
FM6881,882.9,14,2004,2006,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD2
FA7484,873.8,14,1987,1987,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD4
FT9138,902.4,14,2021,2023,1300,DPY,UO2,PAL,Normandy,72.0,VD1
FT6772,739.1,12,1979,1984,900,CPY,UO2,STL,Centre-Val de Loire,0.0,VD5
FV3240,781.4,12,2005,2010,900,CPY,UO2,DAM,Centre-Val de Loire,16.8,VD2
FJ8222,917.2,14,1968,1972,1300,DPY,UO2,PEN,Normandy,72.0,VD6
FC5835,882.8,14,1985,1990,1300,DPY,UO2,FLA,Normandy,72.0,VD4
FG3165,859.9,14,2016,2020,1300,DPY,UO2,GOL,Occitanie,72.0,VD1
FF5210,862.0,14,2019,2022,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FX6549,739.5,12,2018,2021,900,CPY,UO2,STL,Centre-Val de Loire,0.0,VD1
FY4696,845.7,14,2020,2025,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,65.6,VD1
FZ6992,920.2,14,1972,1975,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD6
FR3024,748.8,12,1994,1999,900,CPY,MOX,CHI,Centre-Val de Loire,0.7,VD3
FS7242,879.9,14,2017,2022,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD1
FV4830,856.4,14,2000,2000,1300,DPY,UO2,FLA,Normandy,72.0,VD3
FT4626,856.4,14,2011,2011,1300,DPY,UO2,PAL,Normandy,72.0,VD2
FW5951,850.7,14,2008,2011,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FB1609,880.9,14,1986,1989,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD4
FH9807,857.1,14,1975,1978,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD5
FV9850,766.5,12,1993,1996,900,CPY,UO2,GRA,Hauts-de-France,14.2,VD3
FP7686,834.8,14,1987,1987,1300,DPY,UO2,PEN,Normandy,61.9,VD4
FG8264,859.9,14,1997,1998,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD3
FD7018,813.2,12,2004,2004,900,CPY,MOX,TRI,Auvergne-Rhône-Alpes,36.7,VD3
FG3001,894.9,14,2021,2024,1300,DPY,UO2,GOL,Occitanie,72.0,VD1
FU1349,892.2,14,1971,1973,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD6
FZ4362,776.7,12,1970,1974,900,CPY,UO2,DAM,Centre-Val de Loire,21.3,VD6
FH6383,745.8,12,2015,2019,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD1
FE3129,759.2,12,2003,2004,900,CPY,MOX,CHI,Centre-Val de Loire,4.8,VD3
FE1243,880.6,14,1991,1992,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD4
FA3854,893.8,14,1986,1986,1300,DPY,UO2,PAL,Normandy,72.0,VD4
FQ2862,756.2,12,2014,2017,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,6.8,VD1
FQ2786,765.2,12,1994,1998,900,CPY,UO2,GRA,Hauts-de-France,9.5,VD3
FO1510,776.8,12,1970,1973,900,CPY,UO2,CHI,Centre-Val de Loire,15.0,VD6
FN2768,779.9,12,2001,2001,900,CPY,MOX,TRI,Auvergne-Rhône-Alpes,14.6,VD3
FT3430,920.7,14,1973,1974,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD6
FM9692,713.8,12,1985,1988,900,CPY,UO2,FES,Grand Est,0.0,VD4
FD2874,845.2,14,2019,2024,1300,DPY,UO2,NOG,Île-de-France,69.1,VD1
FN8398,837.7,14,1981,1984,1300,DPY,UO2,PEN,Normandy,70.1,VD5
FM7815,928.9,14,2016,2016,1600,EPR,UO2,FLA,Normandy,72.0,VD1
FK5176,873.7,14,1992,1993,1600,EPR,UO2,FLA,Normandy,72.0,VD4
FC2494,838.5,14,2023,2023,1300,DPY,UO2,PEN,Normandy,66.2,VD1
FD7105,885.0,14,2020,2021,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD1
FS6400,893.7,14,2012,2012,1300,DPY,UO2,NOG,Île-de-France,72.0,VD2
FV7929,872.4,14,2020,2025,1300,DPY,UO2,GOL,Occitanie,72.0,VD1
FT6119,749.0,12,1992,1992,900,CPY,UO2,CHI,Centre-Val de Loire,0.0,VD4
FE8900,899.5,14,1984,1984,1300,DPY,UO2,PAL,Normandy,72.0,VD5
FD5564,861.8,14,2005,2006,1600,EPR,UO2,FLA,Normandy,71.6,VD2
FR1430,769.6,12,2008,2008,900,CPY,MOX,STL,Centre-Val de Loire,12.0,VD2
FW6062,749.9,12,1989,1991,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,0.0,VD4
FE7566,744.5,12,1973,1974,900,CPY,UO2,CHI,Centre-Val de Loire,0.0,VD6
FC9691,867.8,14,1980,1983,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD5
FK3578,927.4,14,1991,1993,1300,DPY,UO2,GOL,Occitanie,72.0,VD4
FY2391,915.8,14,1972,1973,1300,DPY,UO2,SAL,Auvergne-Rhône-Alpes,72.0,VD6
FV2336,767.5,12,1984,1987,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,12.3,VD4
FP8242,905.6,14,1994,1996,1300,DPY,UO2,PEN,Normandy,72.0,VD3
FL8043,801.9,12,1975,1977,900,CPY,UO2,DAM,Centre-Val de Loire,34.1,VD5
FQ6053,856.0,14,1971,1972,1300,DPY,UO2,PEN,Normandy,72.0,VD6
FA4349,890.2,14,1988,1989,1300,DPY,UO2,GOL,Occitanie,72.0,VD4
FY5186,793.2,12,1986,1988,900,CPY,UO2,STL,Centre-Val de Loire,27.9,VD4
FP8055,892.9,14,1980,1981,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD5
FQ6802,886.6,14,1971,1974,1300,DPY,UO2,GOL,Occitanie,72.0,VD6
FN1307,719.4,12,1997,1999,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD3
FS7626,924.1,14,2010,2015,1300,DPY,UO2,PAL,Normandy,72.0,VD2
FD7636,870.0,14,1969,1971,1300,DPY,UO2,GOL,Occitanie,72.0,VD6
FW6928,786.9,12,1972,1975,900,CPY,UO2,CRU,Auvergne-Rhône-Alpes,26.1,VD6
FH8138,762.4,12,2003,2007,900,CPY,MOX,TRI,Auvergne-Rhône-Alpes,7.7,VD2
FJ6562,874.3,14,1982,1984,1450,PQY,UO2,CIV,Nouvelle-Aquitaine,72.0,VD5
FC9363,769.3,12,2006,2010,900,CPY,UO2,STL,Centre-Val de Loire,5.9,VD2
FY6724,864.4,14,1987,1992,1300,DPY,UO2,NOG,Île-de-France,72.0,VD4
FH2684,738.3,12,1977,1979,900,CPY,UO2,TRI,Auvergne-Rhône-Alpes,0.0,VD5
FT3504,751.9,12,2017,2018,900,CPY,UO2,DAM,Centre-Val de Loire,0.0,VD1
FO8354,711.1,12,2008,2013,900,CPY,MOX,STL,Centre-Val de Loire,0.0,VD2
FO2118,864.8,14,1997,2000,1300,DPY,UO2,FLA,Normandy,72.0,VD3
FZ5500,886.1,14,2007,2007,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FJ8565,867.4,14,1998,1998,1300,DPY,UO2,FLA,Normandy,72.0,VD3
FJ2257,768.2,12,2007,2011,900,CPY,UO2,CHI,Centre-Val de Loire,11.4,VD2
FO1672,877.3,14,1994,1998,1300,DPY,UO2,PAL,Normandy,72.0,VD3
FK8792,904.1,14,2001,2002,1300,DPY,UO2,PEN,Normandy,72.0,VD3
FD6626,777.7,12,2011,2015,900,CPY,UO2,CHI,Centre-Val de Loire,14.8,VD2
FB5059,856.8,14,2012,2015,1300,DPY,UO2,PEN,Normandy,72.0,VD2
FL7108,771.8,12,1985,1988,900,CPY,UO2,GRA,Hauts-de-France,14.8,VD4
FV1857,945.1,14,2015,2020,1300,DPY,UO2,GOL,Occitanie,72.0,VD1
