FA_name,FA_mass_kg,FA_length_ft,FA_year_made,FA_year_intro,reactor_power_MWe,reactor_type_code,fuel_type,plant_code,plant_name,region,burnup_GWd_tU,epoch_label,plant_start_date_info
FH2104,852.2,14,1986,1988,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,30.5,VD1,1986
FI8953,881.6,14,2000,2004,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,36.2,VD1,1998
FH8749,756.5,12,2010,2010,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,17.0,VD3,1984
FL7939,890.2,14,2008,2011,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,37.3,VD2,1998
FV2612,733.0,12,1980,1983,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,14.2,VD1,1980
FZ2790,929.4,14,2000,2001,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,41.2,VD2,1986
FE7912,725.6,12,1989,1991,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,15.5,VD2,1980
FC8260,774.1,12,2015,2015,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,20.7,VD4,1980
FC4872,867.8,14,1997,2000,1300,DPY,UO2,PEN,Penly,Normandy,30.7,VD2,1990
FG7570,748.1,12,1982,1983,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,16.1,VD1,1980
FM5345,875.4,14,2020,2022,1300,DPY,UO2,GOL,Golfech,Occitanie,39.0,VD3,1993
FE4111,893.2,14,2010,2011,1300,DPY,UO2,GOL,Golfech,Occitanie,33.6,VD2,1993
FX6138,744.4,12,1986,1986,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,16.6,VD1,1983
FQ9701,850.3,14,1994,1994,1300,DPY,UO2,PAL,Paluel,Normandy,27.3,VD2,1984
FF2122,881.2,14,2025,2025,1300,DPY,UO2,NOG,Nogent,Île-de-France,33.4,VD4,1987
FM2964,849.2,14,2001,2005,1300,DPY,UO2,PEN,Penly,Normandy,31.4,VD2,1990
FT2343,885.4,14,2005,2010,1300,DPY,UO2,PAL,Paluel,Normandy,38.9,VD3,1984
FI4346,834.8,14,2003,2004,1300,DPY,UO2,PAL,Paluel,Normandy,27.9,VD3,1984
FE5915,762.9,12,2006,2006,900,CPY,MOX,FES,Fessenheim,Grand Est,26.3,VD3,1977
FT2638,773.9,12,1983,1987,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,18.8,VD1,1983
FE6718,730.7,12,1983,1984,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,12.5,VD1,1980
FF8179,942.5,14,2021,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,37.7,VD1,2025
FV5905,738.2,12,2022,2023,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,17.6,VD5,1981
FD3546,732.1,12,1992,1994,900,CPY,UO2,FES,Fessenheim,Grand Est,14.6,VD2,1977
FW6617,876.3,14,1992,1997,1300,DPY,UO2,PAL,Paluel,Normandy,34.7,VD2,1984
FQ9004,815.9,14,2006,2006,1300,DPY,UO2,PEN,Penly,Normandy,27.1,VD2,1990
FI1722,851.9,14,1996,1998,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,31.1,VD1,1998
FU5291,720.0,12,1986,1991,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,11.5,VD2,1981
FR1158,794.1,12,1987,1987,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,19.4,VD1,1980
FR1590,936.9,14,2005,2009,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,43.7,VD3,1986
FN3088,912.0,14,1987,1989,1300,DPY,UO2,NOG,Nogent,Île-de-France,37.0,VD1,1987
FL4441,848.0,14,1996,2001,1300,DPY,UO2,FLA,Flamanville,Normandy,28.2,VD2,1986
FY7658,867.6,14,2012,2017,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,31.3,VD2,1998
FF3900,739.0,12,2009,2010,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,16.0,VD3,1984
FZ7745,908.9,14,1999,2001,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,37.7,VD2,1986
FM1634,755.0,12,2013,2014,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,15.5,VD4,1984
FL6000,752.8,12,1993,1994,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,18.5,VD2,1980
FM6378,803.3,12,1998,2000,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,17.0,VD2,1983
FV9785,883.2,14,2025,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,32.9,VD1,2025
FF5349,857.8,14,1999,1999,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,33.8,VD1,1998
FL6139,901.2,14,2007,2011,1300,DPY,UO2,PAL,Paluel,Normandy,40.0,VD3,1984
FM4114,850.8,14,2003,2003,1300,DPY,UO2,NOG,Nogent,Île-de-France,30.5,VD2,1987
FA9518,874.4,14,2015,2020,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,36.9,VD4,1986
FL8066,891.0,14,1985,1990,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,35.1,VD1,1986
FV3041,899.1,14,2021,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,39.9,VD1,2025
FK7592,767.0,12,2017,2021,900,CPY,MOX,FES,Fessenheim,Grand Est,18.0,VD5,1977
FN7211,752.4,12,1992,1995,900,CPY,MOX,CRU,Cruas,Auvergne-Rhône-Alpes,16.6,VD2,1984
FJ5700,845.7,14,1997,2000,1300,DPY,UO2,NOG,Nogent,Île-de-France,28.5,VD2,1987
FO8238,765.6,12,2005,2009,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,18.8,VD3,1981
FV2389,751.9,12,1998,1998,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,15.1,VD2,1980
FV6085,729.4,12,1993,1994,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,13.0,VD2,1980
FB5011,729.4,12,2011,2014,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,14.6,VD4,1984
FW7291,861.3,14,2021,2024,1300,DPY,UO2,GOL,Golfech,Occitanie,33.0,VD4,1993
FU1090,732.0,12,1983,1986,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,13.3,VD1,1980
FZ9486,771.4,12,2005,2009,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,17.7,VD3,1980
FO3184,749.5,12,2006,2009,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,15.4,VD3,1980
FR8305,890.1,14,1989,1994,1300,DPY,UO2,PAL,Paluel,Normandy,40.0,VD2,1984
FO5246,767.3,12,1991,1995,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,16.8,VD2,1980
FI8206,752.4,12,1979,1984,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,14.0,VD1,1980
FI6502,786.3,12,1996,1997,900,CPY,UO2,FES,Fessenheim,Grand Est,24.0,VD3,1977
FM3503,771.8,12,1994,1997,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,20.2,VD2,1984
FR8633,850.5,14,2019,2019,1300,DPY,UO2,GOL,Golfech,Occitanie,28.7,VD3,1993
FM1320,731.0,12,2013,2016,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,14.8,VD4,1980
FJ7389,773.8,12,2006,2009,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,16.5,VD3,1983
FN8956,717.0,12,1978,1981,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,16.6,VD1,1980
FX3704,825.0,14,2024,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,31.0,VD1,2025
FM1444,828.5,14,1984,1989,1300,DPY,UO2,PAL,Paluel,Normandy,26.5,VD1,1984
FO3977,861.9,14,1994,1996,1300,DPY,UO2,GOL,Golfech,Occitanie,32.7,VD1,1993
FG8449,878.5,14,2011,2013,1300,DPY,UO2,GOL,Golfech,Occitanie,37.2,VD3,1993
FI7906,711.6,12,1994,1997,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,14.4,VD2,1981
FL4673,788.8,12,2019,2024,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,22.3,VD5,1983
FH4266,801.5,12,1980,1984,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,23.9,VD1,1983
FE8758,766.1,12,1987,1991,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,18.8,VD1,1984
FW5198,776.5,12,1999,2003,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,14.0,VD3,1980
FY3683,867.1,14,2003,2003,1300,DPY,UO2,PAL,Paluel,Normandy,36.5,VD2,1984
FJ7149,922.5,14,2004,2009,1300,DPY,UO2,PAL,Paluel,Normandy,35.9,VD3,1984
FS4978,759.6,12,1981,1986,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,14.5,VD1,1980
FV2983,717.4,12,2015,2017,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,14.3,VD4,1981
FV7071,860.0,14,1987,1991,1300,DPY,UO2,NOG,Nogent,Île-de-France,29.3,VD1,1987
FA7882,846.2,14,2021,2021,1300,DPY,UO2,PEN,Penly,Normandy,32.7,VD4,1990
FU8532,871.9,14,1999,2002,1300,DPY,UO2,GOL,Golfech,Occitanie,30.1,VD1,1993
FT9817,799.1,12,2011,2014,900,CPY,MOX,CRU,Cruas,Auvergne-Rhône-Alpes,20.8,VD4,1984
FK5022,747.2,12,1983,1985,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,15.1,VD1,1980
FY8613,736.7,12,2014,2016,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,13.2,VD4,1980
FK3979,712.1,12,2012,2014,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,16.3,VD4,1983
FK5581,764.4,12,2015,2019,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,21.4,VD4,1981
FC4954,746.8,12,2005,2009,900,CPY,MOX,CHI,Chinon,Centre-Val de Loire,12.5,VD3,1983
FW8800,731.1,12,2019,2022,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,10.9,VD5,1981
FC5820,792.2,12,1990,1995,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,22.0,VD2,1981
FV7046,751.9,12,2007,2010,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,15.7,VD4,1980
FL8434,844.7,14,2001,2003,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,29.2,VD2,1986
FD4155,773.2,12,1992,1997,900,CPY,UO2,FES,Fessenheim,Grand Est,20.9,VD3,1977
FG4545,856.0,14,2015,2017,1300,DPY,UO2,NOG,Nogent,Île-de-France,31.3,VD4,1987
FD4180,876.4,14,2003,2004,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,32.6,VD2,1986
FJ1231,868.0,14,2019,2020,1300,DPY,UO2,FLA,Flamanville,Normandy,32.0,VD4,1986
FB5786,762.5,12,2016,2021,900,CPY,UO2,FES,Fessenheim,Grand Est,15.9,VD5,1977
FD1200,708.3,12,2013,2016,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,12.5,VD4,1980
FK4020,730.9,12,1981,1983,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,8.9,VD1,1980
FD2070,756.5,12,2005,2005,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,15.0,VD3,1980
FE3444,873.1,14,2018,2020,1300,DPY,UO2,PAL,Paluel,Normandy,31.7,VD4,1984
FD7818,849.9,14,2013,2017,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,30.9,VD2,1998
FY9561,770.9,12,2002,2005,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,16.2,VD3,1981
FJ1986,688.2,12,2015,2016,900,CPY,UO2,FES,Fessenheim,Grand Est,8.0,VD4,1977
FI2330,885.8,14,1999,2000,1300,DPY,UO2,PEN,Penly,Normandy,34.2,VD2,1990
FF1043,779.2,12,2005,2010,900,CPY,MOX,CRU,Cruas,Auvergne-Rhône-Alpes,19.8,VD3,1984
FJ1534,860.8,14,1996,1998,1300,DPY,UO2,PAL,Paluel,Normandy,31.7,VD2,1984
FW8438,883.5,14,1985,1990,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,40.6,VD1,1986
FZ4241,780.0,12,2003,2007,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,16.3,VD3,1980
FI3330,703.2,12,1984,1984,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,9.9,VD1,1980
FT5728,758.2,12,2009,2012,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,16.8,VD3,1984
FW7594,881.9,14,1999,2003,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,35.9,VD2,1986
FO2317,884.9,14,2025,2025,1300,DPY,UO2,NOG,Nogent,Île-de-France,36.8,VD4,1987
FT5102,880.3,14,1994,1994,1300,DPY,UO2,GOL,Golfech,Occitanie,34.4,VD1,1993
FY5415,770.8,12,2015,2016,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,16.6,VD4,1980
FI3973,762.0,12,2012,2017,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,19.1,VD4,1980
FC8700,743.3,12,2000,2002,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,12.8,VD3,1980
FF6403,897.1,14,2007,2012,1300,DPY,UO2,FLA,Flamanville,Normandy,36.4,VD3,1986
FV7561,760.3,12,2012,2015,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,20.4,VD4,1980
FI6296,823.1,14,1998,2001,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,31.5,VD1,1998
FV9889,757.0,12,2009,2009,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,16.0,VD3,1980
FT9167,752.7,12,2020,2020,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,18.9,VD5,1980
FR3146,730.2,12,1993,1998,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,16.0,VD2,1980
FA4920,789.8,12,2023,2025,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,18.8,VD5,1980
FR7684,876.6,14,1991,1992,1300,DPY,UO2,NOG,Nogent,Île-de-France,35.3,VD1,1987
FO2924,746.0,12,2018,2021,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,14.2,VD5,1980
FQ5479,899.0,14,2009,2012,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,36.8,VD3,1986
FO3369,741.6,12,2000,2004,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,18.2,VD3,1980
FC5526,867.8,14,2011,2013,1300,DPY,UO2,NOG,Nogent,Île-de-France,31.1,VD3,1987
FA5634,744.2,12,1999,2000,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,18.1,VD2,1981
FL6446,743.3,12,2012,2015,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,14.8,VD4,1980
FW4912,875.4,14,2019,2022,1300,DPY,UO2,FLA,Flamanville,Normandy,35.8,VD4,1986
FB6213,735.7,12,2007,2010,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,13.4,VD4,1980
FP1606,854.2,14,1994,1998,1300,DPY,UO2,PEN,Penly,Normandy,31.4,VD1,1990
FD8213,797.7,14,1986,1990,1300,DPY,UO2,PAL,Paluel,Normandy,27.4,VD1,1984
FX3361,741.4,12,2006,2006,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,13.2,VD3,1980
FK7512,722.2,12,2019,2021,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,18.2,VD5,1980
FK8994,768.0,12,2010,2014,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,15.3,VD4,1980
FU5708,839.4,14,2000,2005,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,30.8,VD1,1998
FD2646,895.7,14,2011,2012,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,37.9,VD2,1998
FA1753,843.5,14,2006,2006,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,33.0,VD3,1986
FL8056,758.2,12,1985,1986,900,CPY,UO2,FES,Fessenheim,Grand Est,14.2,VD1,1977
FS3950,859.8,14,1996,1997,1300,DPY,UO2,NOG,Nogent,Île-de-France,34.2,VD2,1987
FT4945,829.6,14,2009,2013,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,29.4,VD2,1998
FO5161,698.0,12,2008,2013,900,CPY,MOX,CRU,Cruas,Auvergne-Rhône-Alpes,14.1,VD3,1984
FJ9955,736.4,12,1993,1993,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,15.1,VD2,1983
FS5901,752.9,12,2015,2020,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,16.8,VD5,1980
FJ4263,757.7,12,2001,2001,900,CPY,MOX,FES,Fessenheim,Grand Est,12.3,VD3,1977
FS6881,754.3,12,2011,2016,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,16.3,VD4,1980
FV7484,736.5,12,1994,1994,900,CPY,UO2,FES,Fessenheim,Grand Est,12.6,VD2,1977
FT9138,886.9,14,2001,2002,1300,DPY,UO2,PAL,Paluel,Normandy,32.4,VD2,1984
FH4115,882.5,14,2021,2023,1300,DPY,UO2,PAL,Paluel,Normandy,41.0,VD4,1984
FU2591,821.3,14,1990,1992,1300,DPY,UO2,PEN,Penly,Normandy,23.6,VD1,1990
FB6977,762.9,12,1989,1989,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,15.2,VD1,1981
FX7807,734.7,12,1987,1988,900,CPY,UO2,FES,Fessenheim,Grand Est,10.5,VD2,1977
FQ9221,725.6,12,1999,2001,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,14.7,VD2,1984
FZ5835,762.3,12,1998,2001,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,16.9,VD3,1980
FY4696,858.2,14,2020,2025,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,35.3,VD3,1998
FZ6992,908.5,14,1988,1991,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,36.3,VD1,1986
FR3024,734.3,12,2007,2012,900,CPY,MOX,CHI,Chinon,Centre-Val de Loire,18.7,VD3,1983
FS7242,893.4,14,2009,2009,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,40.1,VD3,1986
FP1410,853.8,14,2023,2025,1300,DPY,UO2,PEN,Penly,Normandy,32.3,VD4,1990
FU2035,880.2,14,2021,2024,1300,DPY,UO2,PAL,Paluel,Normandy,33.9,VD5,1984
FU7689,891.3,14,1992,1993,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,39.2,VD1,1986
FJ9071,748.2,12,1990,1990,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,12.0,VD1,1983
FM8432,756.8,12,1999,2003,900,CPY,MOX,DAM,Dampierre,Centre-Val de Loire,13.2,VD3,1980
FN2622,873.8,14,2013,2017,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,37.3,VD4,1986
FB7070,902.4,14,2003,2006,1300,DPY,UO2,GOL,Golfech,Occitanie,36.5,VD2,1993
FL2627,739.1,12,2019,2023,900,CPY,MOX,GRA,Gravelines,Hauts-de-France,14.8,VD5,1980
FB7523,911.6,14,2006,2007,1300,DPY,UO2,PEN,Penly,Normandy,36.4,VD2,1990
FC4475,917.2,14,2013,2018,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,41.6,VD3,1998
FB6464,882.8,14,1998,1999,1300,DPY,UO2,PAL,Paluel,Normandy,37.8,VD2,1984
FC4394,737.1,12,2017,2018,900,CPY,UO2,STL,Saint-Laurent,Centre-Val de Loire,19.9,VD4,1981
FZ1046,862.0,14,2002,2003,1300,DPY,UO2,FLA,Flamanville,Normandy,37.7,VD2,1986
FZ3858,739.5,12,1986,1991,900,CPY,UO2,CRU,Cruas,Auvergne-Rhône-Alpes,12.7,VD1,1984
FE1243,724.9,12,1998,2002,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,11.6,VD3,1980
FF5347,920.2,14,1988,1989,1300,DPY,UO2,FLA,Flamanville,Normandy,37.6,VD1,1986
FQ2862,873.6,14,1987,1990,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,34.2,VD1,1986
FQ2786,754.2,12,2004,2008,900,CPY,UO2,GRA,Gravelines,Hauts-de-France,17.8,VD3,1980
FO1510,734.1,12,1983,1986,900,CPY,UO2,CHI,Chinon,Centre-Val de Loire,12.2,VD1,1983
FN2768,734.1,12,2011,2011,900,CPY,MOX,TRI,Tricastin,Auvergne-Rhône-Alpes,18.2,VD4,1980
FT3430,850.7,14,1999,2000,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,31.5,VD1,1998
FM9692,755.1,12,1991,1995,900,CPY,MOX,FES,Fessenheim,Grand Est,14.1,VD2,1977
FD2874,857.1,14,2020,2025,1300,DPY,UO2,PAL,Paluel,Normandy,33.2,VD5,1984
FN8398,766.5,12,1993,1995,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,21.2,VD2,1981
FM7815,715.5,12,1984,1986,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,10.4,VD1,1980
FV5176,859.9,14,2015,2016,1300,DPY,UO2,GOL,Golfech,Occitanie,33.8,VD3,1993
FC2494,948.7,14,1995,1995,1300,DPY,UO2,PEN,Penly,Normandy,41.1,VD1,1990
FX7105,894.9,14,1997,2001,1300,DPY,UO2,GOL,Golfech,Occitanie,41.1,VD1,1993
FV3002,764.8,12,2004,2009,900,CPY,MOX,CHI,Chinon,Centre-Val de Loire,20.7,VD3,1983
FX1842,776.7,12,1997,1999,900,CPY,MOX,STL,Saint-Laurent,Centre-Val de Loire,22.3,VD2,1981
FE8900,870.1,14,2005,2005,1450,PQY,UO2,CIV,Civaux,Nouvelle-Aquitaine,34.3,VD1,1998
FD5564,885.8,14,2022,2025,1600,EPR,UO2,FLA,Flamanville,Normandy,34.3,VD1,2025
FT5381,754.8,12,1980,1981,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,14.9,VD1,1980
FK6751,766.1,12,1976,1977,900,CPY,UO2,FES,Fessenheim,Grand Est,21.0,VD1,1977
FS7566,756.2,12,1983,1984,900,CPY,UO2,TRI,Tricastin,Auvergne-Rhône-Alpes,19.1,VD1,1980
FC9691,892.7,14,1996,1999,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,36.6,VD2,1986
FK3578,906.3,14,2014,2016,1300,DPY,UO2,GOL,Golfech,Occitanie,36.4,VD3,1993
FY2391,909.9,14,1988,1989,1300,DPY,UO2,SAL,Saint-Alban,Auvergne-Rhône-Alpes,33.8,VD1,1986
FV2336,789.1,12,1996,2001,900,CPY,MOX,CRU,Cruas,Auvergne-Rhône-Alpes,19.2,VD2,1984
FT8242,832.8,14,2017,2019,1300,DPY,UO2,GOL,Golfech,Occitanie,24.2,VD3,1993
FL8043,724.5,12,1985,1987,900,CPY,UO2,DAM,Dampierre,Centre-Val de Loire,14.3,VD1,1980
